,Evenement,ETP Gaussian,CS20 P Mean,CS20 P Rapid,CS20 P Karst,CS672 P Mean,CS672 P Rapid,CS672 P Karst,CS2688 P Mean,CS2688 P Rapid,CS2688 P Karst,CS8064 P Mean,CS8064 P Rapid,CS8064 P Karst,P Mean,P Rapid,P Karst,Toulon,Cap Cepet,Cas. SAPC,Castellet,Ste Baume,Meounes,Cuers,H LasLagoubran,Q Lagoubran,T Lagoubran,H Ragas,T Ragas,C Ragas,H StAntoine,Q StAntoine,T StAntoine,C StAntoine,Rapid Model,Karst Model
2014-11-12 04:15:00,32,3.89261034061798e-07,4.271428571428571,5.9,3.0500000000000003,62.54285714285714,38.00000000000001,80.94999999999999,68.96190476190476,42.54444444444445,88.77499999999999,244.0476190476191,233.74444444444447,251.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941,7.1352769614297005,14.55,125.962,13.9,486.0,0.421,0.8561634347028209,15.57,535.0,0.754532516002655,0.9179049068372084
2014-11-12 04:30:00,32,3.889223177679571e-07,4.271428571428572,5.9,3.0500000000000003,62.54285714285715,38.00000000000001,80.95,68.96190476190478,42.54444444444445,88.775,244.04761904761904,233.74444444444447,251.77500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.926,6.844174541263202,14.56,125.954,13.9,486.0,0.424,0.8659828790473384,15.57,535.0,0.757878839969635,0.909801330447048
2014-11-12 04:45:00,32,3.88583869856268e-07,4.271428571428571,5.9,3.05,62.54285714285715,38.00000000000001,80.95,68.96190476190478,42.54444444444445,88.775,244.04761904761904,233.74444444444447,251.77500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914,6.614034695440796,14.57,125.964,13.9,486.0,0.43,0.8857558384653402,15.57,535.0,0.744804710149765,0.9007441158762608
2014-11-12 05:00:00,32,3.882456901390657e-07,4.271428571428572,5.9,3.05,62.54285714285715,38.00000000000001,80.94999999999999,68.96190476190478,42.54444444444445,88.77499999999999,244.04761904761904,233.74444444444447,251.77500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.913,6.594969237862903,14.59,125.984,13.9,486.0,0.431,0.8890686613444853,15.57,536.0,0.7436299920082092,0.9090940108741754
2014-11-12 05:15:00,32,3.879077784287909e-07,4.271428571428571,5.9,3.0500000000000003,62.54285714285714,38.00000000000001,80.94999999999999,68.96190476190476,42.54444444444445,88.77499999999999,244.04761904761904,233.74444444444447,251.77500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,6.671336092184102,14.61,126.024,13.9,486.0,0.4370000000000001,0.9090491901398936,15.56,536.0,0.7505204975605011,0.9146805212666824
2014-11-12 05:30:00,32,3.875701345379954e-07,4.271428571428572,5.9,3.0500000000000003,62.54285714285715,38.00000000000001,80.95000000000002,68.96190476190478,42.54444444444445,88.77500000000002,244.04761904761904,233.74444444444447,251.77500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.906,6.4620059543112,14.61,126.064,13.9,486.0,0.441,0.9224678923447308,15.56,536.0,0.7405272722244263,0.9071569185301034
2014-11-12 05:45:00,32,3.872327582793393e-07,4.271428571428571,5.9,3.05,62.54285714285714,38.00000000000001,80.95,68.93333333333334,42.54444444444445,88.725,244.04761904761904,233.74444444444447,251.77500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916,6.652218169427202,14.61,126.124,13.91,486.0,0.441,0.9224678923447308,15.56,536.0,0.7496155202388763,0.9169366337053082
2014-11-12 06:00:00,32,3.8689564946559013e-07,4.2,5.733333333333333,3.05,62.54285714285714,38.00000000000001,80.95000000000002,68.93333333333334,42.54444444444445,88.72500000000001,244.04761904761904,233.74444444444447,251.77500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918,6.690471409682398,14.61,126.174,13.91,486.0,0.446,0.939351443027611,15.55,536.0,0.747719943523407,0.9193940677373243
2014-11-12 06:15:00,32,3.865588079096256e-07,4.071428571428571,5.566666666666667,2.95,62.54285714285714,38.00000000000001,80.95000000000002,68.93333333333334,42.54444444444445,88.72500000000001,244.04761904761904,233.74444444444447,251.77500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,6.671336092184102,14.61,126.226,13.91,487.0,0.4519999999999999,0.9597726073653656,15.56,536.0,0.746709406375885,0.9187189669004648
2014-11-12 06:30:00,32,3.8622223342443e-07,3.9,5.233333333333334,2.9000000000000004,62.54285714285715,38.00000000000001,80.95,68.93333333333335,42.54444444444445,88.725,244.04761904761904,233.74444444444447,251.77500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929,6.902094562917303,14.59,126.306,13.91,487.0,0.4539999999999999,0.9666185265693952,15.57,536.0,0.7557244896888733,0.931287805264536
